01/2006, Arrival, Domestic, 19748, 1680997
01/2006, Arrival, International, 4356, 744422
01/2006, Departure, Domestic, 19723, 1634940
01/2006, Departure, International, 4121, 695800
02/2006, Arrival, Domestic, 17855, 1527133
02/2006, Arrival, International, 3510, 604184
02/2006, Departure, Domestic, 17868, 1518830
02/2006, Departure, International, 3526, 600008
03/2006, Arrival, Domestic, 20193, 1842101
03/2006, Arrival, International, 3987, 698918
03/2006, Departure, Domestic, 20226, 1868956
03/2006, Departure, International, 3996, 680319
04/2006, Arrival, Domestic, 19362, 1827601
04/2006, Arrival, International, 3917, 732566
04/2006, Departure, Domestic, 19399, 1855439
04/2006, Departure, International, 3928, 672268
05/2006, Arrival, Domestic, 20241, 1884096
05/2006, Arrival, International, 4014, 710313
05/2006, Departure, Domestic, 20251, 1859045
05/2006, Departure, International, 4028, 723954
06/2006, Arrival, Domestic, 20206, 1980826
06/2006, Arrival, International, 4070, 726964
06/2006, Departure, Domestic, 20209, 2013972
06/2006, Departure, International, 4067, 788261
07/2006, Arrival, Domestic, 20974, 2123109
07/2006, Arrival, International, 4524, 868409
07/2006, Departure, Domestic, 20989, 2113472
07/2006, Departure, International, 4545, 814733
08/2006, Arrival, Domestic, 21392, 2042067
08/2006, Arrival, International, 4344, 841398
08/2006, Departure, Domestic, 21422, 2086425
08/2006, Departure, International, 4368, 775353
09/2006, Arrival, Domestic, 19759, 1707505
09/2006, Arrival, International, 3861, 660754
09/2006, Departure, Domestic, 19736, 1678916
09/2006, Departure, International, 3902, 660808
10/2006, Arrival, Domestic, 20475, 1806713
10/2006, Arrival, International, 3930, 634612
10/2006, Departure, Domestic, 20517, 1791317
10/2006, Departure, International, 3938, 665779
11/2006, Arrival, Domestic, 19675, 1803204
11/2006, Arrival, International, 3748, 607869
11/2006, Departure, Domestic, 19677, 1795463
11/2006, Departure, International, 3759, 618523
12/2006, Arrival, Domestic, 20607, 1826624
12/2006, Arrival, International, 4132, 658342
12/2006, Departure, Domestic, 20662, 1861175
12/2006, Departure, International, 4146, 726191
01/2007, Arrival, Domestic, 20259, 1724799
01/2007, Arrival, International, 4398, 723144
01/2007, Departure, Domestic, 20288, 1680987
01/2007, Departure, International, 4405, 676886
02/2007, Arrival, Domestic, 18218, 1576912
02/2007, Arrival, International, 3869, 581846
02/2007, Departure, Domestic, 18254, 1556037
02/2007, Departure, International, 3871, 590498
03/2007, Arrival, Domestic, 20874, 1897541
03/2007, Arrival, International, 4195, 705445
03/2007, Departure, Domestic, 20968, 1933515
03/2007, Departure, International, 4197, 705313
04/2007, Arrival, Domestic, 19869, 1873462
04/2007, Arrival, International, 4161, 725325
04/2007, Departure, Domestic, 19927, 1896726
04/2007, Departure, International, 4174, 677601
05/2007, Arrival, Domestic, 20501, 1925241
05/2007, Arrival, International, 4198, 693862
05/2007, Departure, Domestic, 20552, 1911177
05/2007, Departure, International, 4212, 726649
06/2007, Arrival, Domestic, 20513, 2040175
06/2007, Arrival, International, 4323, 726362
06/2007, Departure, Domestic, 20578, 2069123
06/2007, Departure, International, 4358, 790803
07/2007, Arrival, Domestic, 22119, 2168240
07/2007, Arrival, International, 4823, 876538
07/2007, Departure, Domestic, 22235, 2170622
07/2007, Departure, International, 4863, 837449
08/2007, Arrival, Domestic, 22248, 2118929
08/2007, Arrival, International, 4829, 852631
08/2007, Departure, Domestic, 22407, 2172780
08/2007, Departure, International, 4819, 795208
09/2007, Arrival, Domestic, 20770, 1732346
09/2007, Arrival, International, 4239, 690950
09/2007, Departure, Domestic, 20896, 1704188
09/2007, Departure, International, 4227, 678458
10/2007, Arrival, Domestic, 21716, 1859434
10/2007, Arrival, International, 4165, 673067
10/2007, Departure, Domestic, 21806, 1826521
10/2007, Departure, International, 4155, 711020
11/2007, Arrival, Domestic, 20955, 1816580
11/2007, Arrival, International, 4107, 652941
11/2007, Departure, Domestic, 21036, 1819029
11/2007, Departure, International, 4084, 684505
12/2007, Arrival, Domestic, 21451, 1849321
12/2007, Arrival, International, 4579, 709231
12/2007, Departure, Domestic, 21547, 1866930
12/2007, Departure, International, 4552, 762236
01/2008, Arrival, Domestic, 20232, 1705656
01/2008, Arrival, International, 4407, 751535
01/2008, Departure, Domestic, 20296, 1641315
01/2008, Departure, International, 4413, 712309
02/2008, Arrival, Domestic, 18727, 1613146
02/2008, Arrival, International, 3998, 611376
02/2008, Departure, Domestic, 18788, 1604477
02/2008, Departure, International, 4009, 622411
03/2008, Arrival, Domestic, 19956, 1857851
03/2008, Arrival, International, 4386, 747123
03/2008, Departure, Domestic, 20022, 1892739
03/2008, Departure, International, 4379, 735966
04/2008, Arrival, Domestic, 19501, 1774183
04/2008, Arrival, International, 4171, 714635
04/2008, Departure, Domestic, 19558, 1798429
04/2008, Departure, International, 4163, 662588
05/2008, Arrival, Domestic, 20230, 1909658
05/2008, Arrival, International, 4200, 704119
05/2008, Departure, Domestic, 20259, 1898134
05/2008, Departure, International, 4214, 736076
06/2008, Arrival, Domestic, 20840, 2002101
06/2008, Arrival, International, 4281, 728823
06/2008, Departure, Domestic, 20725, 2032215
06/2008, Departure, International, 4291, 776734
07/2008, Arrival, Domestic, 21283, 2079861
07/2008, Arrival, International, 4456, 817798
07/2008, Departure, Domestic, 21393, 2107048
07/2008, Departure, International, 4444, 786861
08/2008, Arrival, Domestic, 20869, 2047897
08/2008, Arrival, International, 4346, 825183
08/2008, Departure, Domestic, 20955, 2075024
08/2008, Departure, International, 4349, 767181
09/2008, Arrival, Domestic, 17348, 1608521
09/2008, Arrival, International, 3776, 636562
09/2008, Departure, Domestic, 17378, 1584095
09/2008, Departure, International, 3784, 635866
10/2008, Arrival, Domestic, 18036, 1713889
10/2008, Arrival, International, 3793, 612043
10/2008, Departure, Domestic, 18102, 1694778
10/2008, Departure, International, 3786, 660588
11/2008, Arrival, Domestic, 16421, 1554092
11/2008, Arrival, International, 3481, 570870
11/2008, Departure, Domestic, 16453, 1560663
11/2008, Departure, International, 3476, 590743
12/2008, Arrival, Domestic, 17205, 1679570
12/2008, Arrival, International, 3741, 620677
12/2008, Departure, Domestic, 17213, 1701714
12/2008, Departure, International, 3729, 655627
01/2009, Arrival, Domestic, 16823, 1522517
01/2009, Arrival, International, 3676, 643392
01/2009, Departure, Domestic, 16867, 1491866
01/2009, Departure, International, 3653, 610614
02/2009, Arrival, Domestic, 15401, 1384648
02/2009, Arrival, International, 3213, 509080
02/2009, Departure, Domestic, 15442, 1376953
02/2009, Departure, International, 3198, 521019
03/2009, Arrival, Domestic, 17508, 1673366
03/2009, Arrival, International, 3650, 604137
03/2009, Departure, Domestic, 17560, 1704413
03/2009, Departure, International, 3622, 590179
04/2009, Arrival, Domestic, 16870, 1695839
04/2009, Arrival, International, 3607, 627416
04/2009, Departure, Domestic, 16904, 1717133
04/2009, Departure, International, 3592, 601080
05/2009, Arrival, Domestic, 17468, 1753110
05/2009, Arrival, International, 3535, 565406
05/2009, Departure, Domestic, 17496, 1744094
05/2009, Departure, International, 3525, 583246
06/2009, Arrival, Domestic, 17879, 1869417
06/2009, Arrival, International, 3517, 602840
06/2009, Departure, Domestic, 17912, 1904810
06/2009, Departure, International, 3524, 663424
07/2009, Arrival, Domestic, 18859, 2057044
07/2009, Arrival, International, 3972, 750464
07/2009, Departure, Domestic, 18945, 2057955
